restaurant_name,name_nepali,longitude,latitude,address_street,address_city,address_housenumber,address_postcode,phone,website,email,cuisine_type,star_rating,opening_hours,wheelchair_accessible,internet_access,air_conditioning,outdoor_seating,indoor_seating,smoking_area,diet:vegetarian,diet:vegan,diet:gluten_free,operator,capacity,osm_id,check_date
Marwadi Restaurant,मारवाडी रेष्टुरेन्ट,83.958167,28.214647,Lakeside Marg,,,,,,,indian,,,,,,,,,yes,,,,,node/4763717122,2025-09-03
Sweet Memories,,83.9582953,28.2147787,,Pokhara,,,,,,local;breakfast,,,,,,,,,,,,,,node/4782221318,2023-04-02
High Tide,,83.9558506,28.2105823,,,,,,,,,,,,wlan,,,,,,,,,,node/4784129821,
Mustang Thakali Bhanchha Ghar,,83.9590422,28.2139357,,,,,,,,,,,,,,,,,,,,,,node/4790230923,
Mamma Mai Restaurant,,83.9585514,28.2139651,Baidam Road,,,,+97761526394,https://www.facebook.com/desitadkapokhara/,,indian;kebab;fish;curry;chicken;burger,,Mo-Su 11:00-23:00,,wlan,,,,,,,,,,node/4790245221,
Lakeside Sukuti House,,83.9590866,28.21053,,,,,,,,,,,,,,,,,,,,,,node/4791064221,
The Downtown Restro and Dance Bar,,83.9573899,28.2132394,,,,,,,,,,18:00-23:00,,,,,,,,,,,,node/4791074002,
Namaste Potala Restaurant,,83.9577345,28.213112,,,,,,,,,,,,,,,,,,,,,,node/4791101571,
Ruslan Lake Valley Restaurant and Bar,,83.9573396,28.213528,,,,,,,,,,,,,,,,,,,,,,node/4791101873,
Sichuan Cuisine Chinese Restaurant,,83.9582257,28.2128192,,,,,,,,chinese,,,,,,,,,,,,,,node/4791109690,
Laila's Resturant and Bar,,83.9572523,28.2128373,,,,,,,,,,,,,,,,,,,,,,node/4791109834,
Double View Restaurant and Bar,,83.9569921,28.2126018,,,,,,,,,,,,,,,,,,,,,,node/4791119640,
Fewa Lake Restaurant and Bar,,83.9648466,28.204311,,,,,,,,,,,,,,,,,,,,,,node/4791199891,
The China Town,द चाइना टाउन,83.9570094,28.2118448,Baidam Road,,,,,,,chinese,,,,,,,,,,,,,,node/4791229866,
Marpha Thakali Kitchen,मार्फा थकाली किचेन,83.9572579,28.2115476,,,,,,,,,,,,,,,,,,,,,,node/4791262039,
Anisha Resturant,,83.9621596,28.2065292,,,,,,,,,,,,,,,,,,,,,,node/4791299376,
Shankar Mo.Mo Restaurant,,83.958418,28.2103791,,,,,,,,,,,,,,,,,,,,,,node/4791306610,
Mongolian Restaurant,,83.9625751,28.2072148,,,,,,,,,,,,,,,,,,,,,,node/4791314050,
Tamuhita Restaurant Barbecue Korea,,83.9576669,28.2115797,,,,,,,,barbecue,,,,,,,,,,,,,,node/4791332627,
Ktm.MoMo Restaurant,,83.9562867,28.2123235,,,,,,,,,,,,,,,,,,,,,,node/4791341095,
Kathmandu Bhhancha Ghar,,83.9597328,28.2105115,,,,,,,,,,,,,,,,,,,,,,node/4791365940,
Harbor Restaurant,,83.9611689,28.2059073,,,,,,,,,,,,,,,,,,,,,,node/4791368712,
Sanju Restaurant,,83.9622454,28.2064513,,,,,,,,,,,,,,,,,,,,,,node/4791369927,
Pandey Restaurant,,83.9620293,28.2063538,,,,,,,,,,,,,,,,,,,,,,node/4791369932,
Cheap and Best Restaurant and Bar,,83.9620787,28.2062255,,,,,,,,,,,,,,,,,,,,,,node/4791369933,
Great Wall Chinese Restaurant,,83.9631418,28.2043702,,,,,,,,,,,,,,,,,,,,,,node/4791369986,
Meet Point Resturant,,83.9588849,28.2112623,,,,,,,,,,,,,,,,,,,,,,node/4791410143,
BB Resturant,,83.9648363,28.2062794,,,,,,,,,,,,,,,,,,,,,,node/4791411510,
Full Power Resturant,,83.9557386,28.2107762,,,,,,,,,,,,,,,,,,,,,,node/4791497363,
Neptalia restaurant,,83.9582919,28.2153857,,,,,061-460101,,,,,,,,,,,,,,,,,node/4800681197,
Welcome Sun Set View Restaurant and Bar,,83.9581417,28.2150996,,,,,,https://hotelpeaceplaza.com/,,,,,,yes,,,,,,,,,,node/4800681200,
Namaste Air Nandoj,,83.9582758,28.2175343,,,,,,,,,,24/7,,,no,yes,yes,,,,,,,node/4800701091,
Third Eye Restaurant and Thakali,,83.9585345,28.2163174,,,,,,,,,,,,,,,,,,,,,,node/4800708998,
Utopia,,83.9560821,28.2108602,,,,,,,,,,,,yes,,yes,,yes,,,,,,node/4800800626,
Beautiful View Inn,,83.9595717,28.2122322,,,,,,,,,,,,,,,,,,,,,,node/4800813797,
David Restro and Bar,,83.958413,28.2127641,,,,,,,,,,,,,,,,,,,,,,node/4800813799,
Lake Food India Kitchen,,83.9584532,28.2127289,,,,,,,,,,,,,,,,,,,,,,node/4800813804,
Stupa View Resturant,,83.9600088,28.212239,,,,,,,,,,,,,,,,,,,,,,node/4800813805,
Billy Bunter's Restaurant and Bar,,83.9585594,28.2164189,,,,,061-465722,,,,,,,,no,yes,yes,outside,,,,,,node/4800816708,
Family Restaurant,,83.9588231,28.2176898,,,,,,,,,,,,,,,,,,,,,,node/4800870883,
Beijing China Restaurant & Bar,,83.9582927,28.2148905,,,,,,,,,,,,,,,,,,,,,,node/4800893789,
Pokhara Chinese Restaurant,,83.9568932,28.2100412,,,,,,,,,,,,,,,,,,,,,,node/4800970677,
,,83.9647573,28.2061876,Ammat,,,,9807432980,,,,,,,,,,,,,,,,,node/4831907221,
Lumuma,,83.9578569,28.2197063,,,,,,,,french,,,,,,,,,,,,,,node/4851048821,
,,83.9575778,28.2075832,,,,,,,,,,,,,,,,,,,,,,node/4905252622,
,,83.9570597,28.2090621,,,,,061456271,https://byanjan.com/,,,,,,wlan,,,,,,,,,,node/4905255422,
,,83.9570499,28.2115526,,,,,,,,,,,,,,,,,,,,,,node/4905255521,
,,83.9570646,28.2112742,,,,,,,,,,,,,,,,,,,,,,node/4905255522,
,,83.9558409,28.2102122,,,,,,,,,,,,,,,,,,,,,,node/4905255523,
,,83.9568462,28.2088904,,,,,,,,,,,,,,,,,,,,,,node/4905274521,
,,83.9571817,28.2093776,,,,,,,,,,,,,,,,,,,,,,node/4905274623,
Hot Sandwich,,83.9576532,28.2116789,,,,,,,,,,,,,,,,,,,,,,node/4916454475,
Bamboo Paradise,,83.9572081,28.2162178,Lack side,,,,,,,,,,limited,,no,yes,yes,separated,,,,,,node/4932164921,
,,83.9574057,28.2169305,,,,,,,,,,,,,no,yes,yes,outside,,,,,,node/4933498721,
New Fewa Restaurant,,83.9579242,28.2190759,,,,,,,,,,,yes,wlan,no,yes,yes,yes,,,,,,node/4933498722,2025-08-18
,,83.9579491,28.2196343,,,,,,,,,,,,,no,yes,yes,outside,,,,,,node/4933526321,
,,83.9627345,28.2119138,,,,,,,,,,,,,,,,,,,,,,node/4934423024,
,,83.9585342,28.2154925,,,,,,,,,,,,,,,,,,,,,,node/4934426222,
El Bocaíto Español y Olé!,,83.9576482,28.2199865,Lakeside Marga,,6,,+977 98251567216,http://www.elbocaitoespañol.com,,,,,yes,,no,yes,yes,yes,,,,,,node/4934513525,2025-08-06
Himalayan Kitchen,,83.9606144,28.2122453,,,,,,,,,,,,,,,,,,,,,,node/4936705622,
Rest Point,,83.9577571,28.2198525,,,,,,,,,,,yes,,no,yes,yes,yes,,,,,,node/4942542721,2025-08-06
Lake Mandala Lounge,,83.9577422,28.2142135,,,,,,,,,,Su-Sa 7:00-11:00,,,,,,,,,,,,node/4957716421,
Puja Khaja Ghar,,83.9649788,28.2074535,,,,,,,,,,,,,,,,,,,,,,node/5104525762,
Anish Khaja Ghar,,83.9626204,28.2100148,,,,,,,,,,,,,,,,,,,,,,node/5104541377,
Aayush Khaja Ghar,,83.963179,28.2089674,,,,,,,,,,,,,,,,,,,,,,node/5104541384,
Amber Kitchen and A.S. Catering Service,,83.9636269,28.2088342,,,,,,,,,,,,,,,,,,,,,,node/5104541386,
Piya Restaurant,,83.9619613,28.2109204,,,,,,,,,,,,,,no,yes,,,,,,,node/5104554481,
Kushal Khaja Ghar,,83.9619673,28.210881,,,,,,,,,,,,,,,,,,,,,,node/5104554482,
Aashika Khaja Ghar,,83.9620236,28.2108107,,,,,,,,,,,,,,,,,,,,,,node/5104554485,
Bhojan Griha,,83.9571529,28.2100502,,,,,,,,regional,,,,,,,,,,,,,,node/5138819138,
,,83.9629201,28.2074838,Ambot Chowk,,6,,+9779816185421,,,diner;indian;breakfast;local,,Mo-Su 06:00-22:00,,,,,,,,,,,,node/5155431022,
,,83.9568788,28.2104051,,,,,,,,,,,,,,,,,,,,,,node/5170291921,
,,83.9561316,28.2098977,,,,,,https://www.soulhimalayatreks.com/,,asian,,,,wlan,,,,,,,,Welcome to nepal,,node/5223032621,
,,83.9589908,28.2136043,,,,,,,,,,,,wlan,,,,,,,,,,node/5229688023,
,,83.9593846,28.2107809,Pahari Mharg,,,,9841313272,,,,,,,,,,,,,,,,,node/5273548622,
,,83.959762,28.2086319,,,,,,,,,,,,,,,,,,,,,,node/5282219121,
Aozora,,83.9602841,28.2133274,,,,,,,,japanese,,,,,,yes,yes,,,,,,,node/5298738717,
Lake Way Momo Center,,83.9571245,28.2141121,,,,,,,,regional,,,,,,,,,,,,,,node/5298738718,
Kathmandu Momo Center,,83.9570682,28.2141357,,,,,,,,regional,,,,,,,,,,,,,,node/5298738719,
Be Happy Restaurant,,83.9581882,28.2146848,,,,,,,,local,,,,,,,,,,,,,,node/5325444221,
PP Local Indian & Chinese Restaurant,,83.9588537,28.2176011,,,,,+977 61 463272,,,nepalese,,Mo-Su 07:00-22:00,limited,wlan,no,yes,yes,yes,,,,Mr buddhi Prasad neupane,,node/5370354721,
,,83.9582761,28.2114416,,,,,,,,,,,,,,,,,,,,,,node/5412522921,
Sabina MoMo,,83.9578156,28.2197651,,,,,,,,,,,,,,,,,,,,,,node/5425866923,
,,83.962432,28.2056526,,,,,9856032188,,,regional,,,,,,,,,,,,,,node/5437769473,
Tamu restaurant,,83.9635304,28.2071678,,,,,,,,,,,,,,,,,,,,,,node/5437769475,
Bella's Garden,,83.9637342,28.2046126,,,,,+977-9816142851,,,,,,,,,,,,,,,,,node/5458641698,
Pandey Restaurant,,83.9621691,28.2061632,,,,,,,,,,,,,,,,,,,,,,node/5458862996,
Mimosa restaurant Bar,,83.9614678,28.2069539,,,,,,,,,,,,,,,,,,,,,,node/5463338426,
Kingsway Restaurant,,83.9609662,28.2074313,,,,,,,,,,,,,,,,,,,,,,node/5463386015,
,,83.9577985,28.2086108,,,,,,,,,,,,,,,,,,,,,,node/5466336819,
,,83.9582598,28.2085422,,,,,,,,,,,,,,,,,,,,,,node/5466340121,
,,83.9583537,28.2085635,,,,,,,,,,,,,,,,,,,,,,node/5466340122,
,,83.9572582,28.2090526,,,,,,,,,,,,,,,,,,,,,,node/5466665237,
,,83.9574753,28.2085966,,,,,,https://openhousepokhara.com/,,,,,,,,,,,,,,,,node/5466665250,
Paila hostel,,83.9575222,28.2085162,,,,,,,,,,,,,,,,,,,,,,node/5466665260,2025-12-17
,,83.9607181,28.2072789,,,,,,,kishangurung7777@gmail.com,,,,,,,,,,,,,,,node/5470406023,
,,83.9571547,28.2097832,,,,,,,,,,,,,,,,,,,,,,node/5474877401,
Manisha Restaurant,,83.9602923,28.2108071,,,,,,,,,,,,,,,,,,,,,,node/5474987534,
,,83.9594024,28.2105301,,,,,,,pasangdee@hotmail.com,,,,,,,,,,,,,,,node/5481706655,
Delight Restaurant,,83.9622884,28.2106463,,,,,,,subashstha23@gmail.com,,,,,,,,,,,,,,,node/5481706662,
Samrat Tandoori Restaurant,,83.9576027,28.2115677,,,,,,,,indian,,,,,,,,,,,,,,node/5481863445,
Almond's Cafe & Restaurant,,83.9572781,28.2110311,,,,,,,,,,,,,,,,,,,,,,node/5481863453,
Fewa Thakali Bhancha Ghar,फेवा थकाली भान्छा घर,83.9572916,28.2113975,Lakeside Marg,,,,061-462476,,fewa.crossroads@hotmail.com,regional,,Mo-Su 11:00-21:00,,,,,,,,,,,,node/5481883903,
Han Kook Sarang restaurant,,83.9573586,28.2111304,,,,,,www.hankooksarang.pkr.com,hankooksarang@koreamail.com,korean,,,,,,,,,,,,,,node/5481883904,2023-03-20
,,83.9574552,28.2118088,,,,,,,,,,07:00-22:00,,,,,,,,,,,,node/5502440195,
,,83.96047,28.2132352,,,,,,,,,,,,,,,,,,,,,,node/5504672554,
,,83.9633158,28.2119423,,,,,,,,,,,,,,,,,,,,,,node/5505084138,
,,83.963187,28.2120108,,,,,,,,,,,,,,,,,,,,,,node/5505084140,
,,83.9629416,28.2120865,,,,,,,,,,,,,,,,,,,,,,node/5505084142,
